season,date,reported_time,T_SFC,T_SFC_historical,RH_SFC,RH_SFC_historical,WindMagKmh_SFC,WindMagKmh_SFC_historical,DF_SFC,DF_SFC_historical,KBDI,KBDI_historical,soil_moisture,Curing,Curing_historical,grass_density_3km,forest_density_3km,shrub_density_3km,noveg_density_3km,primary_fuel_type,distance_to_interface,elevation_m,ruggedness_average_3km,building_density_3km,building_density_20km,road_density_km_in_3km,road_distance_m,FFDI,FFDI_historical,GFDI,GFDI_historical,uncontrolled_within_2_hrs,uncontrolled_within_4_hrs,uncontrolled_within_5_ha,uncontrolled_within_100_ha
2008-09,,,,5.3,,84.9,,4.0,,7.96,,123.4,0.32939398288726807,,82.0,0.6954902560963167,0.07078359351086624,0.04609223548617488,0.18763391490664222,grass,1,69.0,1.026725,10,73,155.8703316086029,0.11983795361709185,,0.75,,0.4,0.0,0.0,0.0,0.0
2008-09,,,,10.2,,62.3,,4.6,,10.0,,155.1,0.18095698952674866,,77.0,0.4572492602795633,0.2755331088664422,0.10705540250994797,0.16016222834404656,grass,1,30.0,2.19865,4,325,111.72767146676001,94.42691737869688,,2.49,,0.54,0.0,0.0,0.0,0.0
2008-09,,,,12.9,,60.5,,9.4,,5.11,,0.2,0.3448578715324402,,28.0,0.5088511376390165,0.42852770125497397,0.008009386797265585,0.054611774308743984,grass,0,154.0,8.5571,21,831,81.31172184955955,16.22472237047746,,1.84,,0.01,0.0,0.0,0.0,0.0
2008-09,,,,12.8,,69.1,,12.8,,5.2,,2.4,0.3391566276550293,,49.0,0.4107233955718804,0.058488929701050914,0.15059687786960516,0.3801907968574635,grass,1,0.0,0.6307707451520819,7,56,35.78382330684961,5.067269863316056,,1.61,,0.07,0.0,0.0,0.0,0.0
2008-09,,,,17.0,,40.3,,7.6,,10.0,,154.4,0.15331056714057922,,76.0,0.44990307111519234,0.3493776145291297,0.12934904601571268,0.07137026833996529,grass,1,36.0,1.826375,0,342,107.3643052016008,17.343827139540128,,7.62,,1.34,0.0,0.0,0.0,0.0
2008-09,,,,10.2,,65.3,,3.4,,10.0,,142.4,0.3556611239910126,,80.0,0.4327364554637282,0.29976533006836037,0.14684726048362412,0.12065095398428732,grass,0,30.0,1.2653,13,117,52.863929537708024,83.82977035922983,,2.13,,0.64,1.0,0.0,0.0,0.0
2008-09,,,,9.6,,61.9,,5.7,,9.2,,87.8,0.10095858573913574,,55.0,0.0646107540046934,0.8769768390980512,0.006887052341597796,0.05152535455565756,forest,1,79.0,0.990725,0,94,56.01532929107814,37.3452229136488,,2.38,,0.11,0.0,0.0,0.0,0.0
2008-09,,,,4.8,,94.3,,2.2,,6.18,,17.3,0.09607786685228348,,61.0,0.6920212223242527,0.013876135088256301,0.07065605550454035,0.22344658708295068,grass,12,109.0,0.285125,0,79,22.633003051473633,367.66851434866226,,0.39,,0.02,0.0,0.0,1.0,0.0
2008-09,,,,13.7,,54.7,,14.7,,9.0,,80.7,0.12697827816009521,,45.0,0.8192786450362208,0.020457096214671972,0.14559738802163044,0.014666870727476744,grass,2,91.0,1.3463,0,58,41.098517180394005,253.90086522101325,,5.09,,0.03,0.0,0.0,0.0,0.0
2008-09,,,,13.7,,56.9,,14.5,,6.28,,100.0,0.6228867173194885,,44.0,0.9472502805836139,5.1015202530354045e-05,0.04938271604938271,0.0033159881644729966,grass,1,62.0,0.575625,0,25,29.399240956457295,18.036595358242085,,3.27,,0.08,0.0,0.0,0.0,0.0
2008-09,,,,16.4,,50.0,,9.2,,8.57,,67.1,0.13714414834976196,,33.0,0.573640444852566,0.03170594837261504,0.0,0.3946536067748189,grass,1,109.0,0.109925,0,136,52.056657256868945,0.8145203657806821,,4.91,,0.03,0.0,0.0,0.0,0.0
2008-09,,,,9.5,,79.5,,6.0,,7.1,,34.6,0.12540291249752045,,34.0,0.6456228956228957,0.019130700948882768,0.0,0.3352464034282216,grass,0,116.0,0.1152,26,495,57.06961334831382,17.44907249950951,,1.02,,0.0,0.0,0.0,0.0,0.0
2008-09,,,,17.9,,31.9,,6.7,,10.0,,138.1,0.14351484179496765,,87.0,0.47155902458932764,0.3958779716355474,0.06287623711866136,0.06968676665646362,grass,1,46.0,2.21855,5,134,53.169503824557815,39.552301376872165,,10.07,,3.52,1.0,0.0,0.0,0.0
2008-09,,,,11.3,,69.7,,6.2,,6.03,,7.1,0.22632598876953125,,38.0,0.5466023875114784,0.18345066829915316,0.16085093357820632,0.10909601061116217,grass,1,6.0,2.48575,0,59,18.202098061807643,1778.2332093750326,,1.3,,0.01,0.0,0.0,1.0,0.0
